commit,date,status,num_packages
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,blocked,818
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,dropped,15
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,idle,1177
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,in-progress,8
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,released,923
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,mispackaged,0
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,blocked,818
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,dropped,17
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,idle,1176
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,in-progress,8
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,released,923
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,mispackaged,0
38c308d71c7dfcd5210d075f35c838f129e9ddaf,2015-11-01 22:50:17 +0100,blocked,818
38c308d71c7dfcd5210d075f35c838f129e9ddaf,2015-11-01 22:50:17 +0100,dropped,17
38c308d71c7dfcd5210d075f35c838f129e9ddaf,2015-11-01 22:50:17 +0100,idle,1175
38c308d71c7dfcd5210d075f35c838f129e9ddaf,2015-11-01 22:50:17 +0100,in-progress,8
38c308d71c7dfcd5210d075f35c838f129e9ddaf,2015-11-01 22:50:17 +0100,released,923
38c308d71c7dfcd5210d075f35c838f129e9ddaf,2015-11-01 22:50:17 +0100,mispackaged,0
dec43dd8e89e23bae0e91eb220c5a0221e56e168,2015-11-04 10:41:33 +0100,blocked,817
dec43dd8e89e23bae0e91eb220c5a0221e56e168,2015-11-04 10:41:33 +0100,dropped,22
dec43dd8e89e23bae0e91eb220c5a0221e56e168,2015-11-04 10:41:33 +0100,idle,1171
dec43dd8e89e23bae0e91eb220c5a0221e56e168,2015-11-04 10:41:33 +0100,in-progress,8
dec43dd8e89e23bae0e91eb220c5a0221e56e168,2015-11-04 10:41:33 +0100,released,923
dec43dd8e89e23bae0e91eb220c5a0221e56e168,2015-11-04 10:41:33 +0100,mispackaged,0
bae90c63da0ce306d357a41ac8cdb3c84d421d7c,2015-11-04 10:41:45 +0100,blocked,817
bae90c63da0ce306d357a41ac8cdb3c84d421d7c,2015-11-04 10:41:45 +0100,dropped,22
bae90c63da0ce306d357a41ac8cdb3c84d421d7c,2015-11-04 10:41:45 +0100,idle,1172
bae90c63da0ce306d357a41ac8cdb3c84d421d7c,2015-11-04 10:41:45 +0100,in-progress,7
bae90c63da0ce306d357a41ac8cdb3c84d421d7c,2015-11-04 10:41:45 +0100,released,923
bae90c63da0ce306d357a41ac8cdb3c84d421d7c,2015-11-04 10:41:45 +0100,mispackaged,0
1d326b545dcaa985a3e059569adfd755767cb361,2015-11-04 10:41:45 +0100,blocked,815
1d326b545dcaa985a3e059569adfd755767cb361,2015-11-04 10:41:45 +0100,dropped,23
1d326b545dcaa985a3e059569adfd755767cb361,2015-11-04 10:41:45 +0100,idle,1173
1d326b545dcaa985a3e059569adfd755767cb361,2015-11-04 10:41:45 +0100,in-progress,7
1d326b545dcaa985a3e059569adfd755767cb361,2015-11-04 10:41:45 +0100,released,923
1d326b545dcaa985a3e059569adfd755767cb361,2015-11-04 10:41:45 +0100,mispackaged,0
5f18a802e8bb2579466329667599ff55e1cd3d6c,2015-11-04 11:10:04 +0100,blocked,816
5f18a802e8bb2579466329667599ff55e1cd3d6c,2015-11-04 11:10:04 +0100,dropped,23
5f18a802e8bb2579466329667599ff55e1cd3d6c,2015-11-04 11:10:04 +0100,idle,1173
5f18a802e8bb2579466329667599ff55e1cd3d6c,2015-11-04 11:10:04 +0100,in-progress,7
5f18a802e8bb2579466329667599ff55e1cd3d6c,2015-11-04 11:10:04 +0100,released,923
5f18a802e8bb2579466329667599ff55e1cd3d6c,2015-11-04 11:10:04 +0100,mispackaged,0
10ba8dac94deb508d5ab9b5181e667b6e53d6e7c,2015-11-04 20:11:44 +0100,blocked,816
10ba8dac94deb508d5ab9b5181e667b6e53d6e7c,2015-11-04 20:11:44 +0100,dropped,23
10ba8dac94deb508d5ab9b5181e667b6e53d6e7c,2015-11-04 20:11:44 +0100,idle,1173
10ba8dac94deb508d5ab9b5181e667b6e53d6e7c,2015-11-04 20:11:44 +0100,in-progress,7
10ba8dac94deb508d5ab9b5181e667b6e53d6e7c,2015-11-04 20:11:44 +0100,released,923
10ba8dac94deb508d5ab9b5181e667b6e53d6e7c,2015-11-04 20:11:44 +0100,mispackaged,0
c4facf4656d88dbb1360b603bd5a6a0f8e0a7acc,2015-11-04 21:07:11 +0100,blocked,816
